Id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,Expected
262,2,12,4/21/2011,53,41.19,46244533,39.16,2.57758,-34.23844024,-1.68047,0.317151,40.99
263,2,25,4/29/2011,40,63.37,16046782,60.91,3.19635,58.3189568,-0.204531,0.647914,63.28
264,1,9,3/11/2011,273,43.61,41229388,42.16,-1.37836,-22.35020618,-3.30675,0.931749,42.93
265,1,27,2/11/2011,54,36.77,78429505,35.77,0.247934,7.598980746,0.853759,1.34652,36.39
266,1,8,1/21/2011,21,50.14,25611091,47.65,-2.38239,-25.8656796,3.81916,0.847983,48.35
267,1,23,3/18/2011,54,20.29,457640533,19.15,3.75321,134.2177717,0.147638,0.99108,20.18
268,1,24,1/14/2011,5,65.53,41932473,63.40,1.75466,-19.85897043,0.39604,0.732489,65.53
269,2,8,5/20/2011,83,54.00,27511651,51.92,0,1.116318173,1.56522,0.777399,52.74
270,1,27,3/4/2011,33,36.94,80086312,35.85,0.0554631,38.86118906,-0.774979,1.35809,36.08
271,1,14,1/28/2011,6,21.94,325168191,20.93,2.0447,48.83237884,0.603248,0.83877,21.46
272,1,26,3/4/2011,75,84.24,19167224,81.42,-0.86145,23.25251397,-2.10767,0.57929,82.86
273,1,4,1/14/2011,47,15.25,760935694,14.09,7.62174,-47.64583288,-5.50398,0.0655738,15.25
274,2,30,4/21/2011,76,30.68,76563904,29.91,0.854701,-29.16023584,1.46723,1.40156,30.68
275,1,29,1/14/2011,45,77.84,74376886,74.58,3.60708,-26.89580899,1.52976,0.565262,77.84
276,2,1,5/6/2011,6,17.96,225053559,16.83,-0.694847,147.7693094,-0.34965,0.174927,17.15
277,2,19,4/29/2011,28,78.59,22923015,76.54,1.50356,29.37571897,0.382653,0.778955,78.31
278,1,6,2/4/2011,53,22.15,236334561,20.71,5.35117,-11.04784237,-15.4229,0.272109,22.05
279,1,19,1/28/2011,28,75.85,46734907,73.05,-1.3064,16.67247638,0.338753,0.832424,73.28
280,2,2,4/15/2011,75,46.95,29090940,45.60,-0.237274,-6.504315752,2.74809,0.389189,46.25
281,2,25,5/13/2011,26,64.09,14388418,62.18,-1.42338,0.366416063,-0.431862,0.657789,62.33
282,2,2,5/6/2011,54,50.47,43997724,49.08,1.68118,35.50136049,-1.13863,0.358566,50.20
283,1,17,1/21/2011,67,31.52,41200255,30.89,-0.191022,65.09762779,-2.73973,0.92504,31.35
284,2,1,5/27/2011,68,16.48,77236662,15.83,3.25815,-34.70071085,-4.8416,0.182039,16.48
285,2,14,6/24/2011,40,21.74,309031457,21.06,0.0471921,5.015175306,6.42419,0.990566,21.20
286,1,19,2/18/2011,7,76.45,16734140,75.70,0.0788747,-57.48852195,-1.98815,0.801261,76.13
287,1,25,3/4/2011,4,60.02,20284170,58.53,-0.704698,-2.710541971,-0.641242,0.608314,59.18
288,2,16,5/20/2011,42,44.35,145114846,42.65,0.372353,5.912650898,0.919811,0.579643,43.13
289,1,26,1/28/2011,19,83.08,23565688,80.26,1.45776,43.06570194,0.880196,0.528061,81.43
290,2,19,4/21/2011,36,78.41,17718174,76.40,0.0260112,-18.23908902,1.50356,0.793135,76.91
291,1,1,1/28/2011,5,16.63,151379173,15.82,1.63831,9.355500109,5.93325,0.185989,16.13
292,1,24,3/25/2011,33,61.52,41351155,60.54,-0.131234,-37.64106994,1.6372,0.870565,60.88
293,2,24,5/6/2011,75,66.50,55046479,64.90,0.0459841,2.804866087,2.97243,0.812012,65.27
294,1,11,3/18/2011,88,36.94,52758908,35.43,-2.49187,7.329134676,3.11381,0.694444,36.00
295,2,24,4/29/2011,82,65.10,53544624,62.60,2.88523,81.58517083,0.0459841,0.816641,64.90
296,2,18,6/24/2011,81,66.82,49806614,64.43,-0.673092,15.30664183,4.99614,0.723856,64.93
297,1,24,2/18/2011,68,64.80,36098973,63.40,-0.771605,-30.57864709,-1.39652,0.824261,64.30
298,2,27,6/10/2011,26,36.14,72100710,35.16,-1.06832,43.70072643,0.794777,1.39244,35.19
299,1,22,1/21/2011,25,28.74,220040646,28.02,-0.497159,-3.321898412,-0.963597,0.571021,28.02
300,1,11,1/21/2011,46,36.99,45249920,35.48,1.50125,7.94750283,0.658256,0.684744,36.51
301,2,12,5/27/2011,17,36.96,106507716,35.44,3.87858,-51.03632793,-3.13841,0.351732,36.96
302,2,15,4/15/2011,41,60.95,58631682,59.49,1.71313,24.37405509,5.98842,0.941215,60.56
303,1,15,1/7/2011,49,63.54,57774737,62.53,-0.0479004,,0.417402,0.86262,62.60
304,1,16,1/28/2011,66,45.88,154832501,44.26,-1.48197,-15.37901797,0.405314,0.561293,44.54
305,1,22,1/14/2011,32,28.50,227601331,28.00,0.35461,-30.74577985,-0.497159,0.565371,28.30
306,2,3,6/10/2011,61,75.27,18574466,72.61,-2.76886,4.270503707,1.50561,0.577796,72.69
307,2,29,5/6/2011,5,88.13,113805856,81.59,-6.14075,39.4733141,-2.578,0.568388,82.69
308,1,30,3/11/2011,26,28.89,139153253,27.73,1.82469,17.19147161,-1.34181,1.51089,28.46
309,1,16,1/7/2011,87,44.95,234547885,42.64,1.48837,,3.79015,0.572869,43.64
310,1,25,1/7/2011,60,56.34,20010115,52.88,-4.92066,,2.84262,0.675042,53.33
311,2,30,4/29/2011,68,31.82,112339712,30.43,1.46723,46.72672909,-1.07595,1.38175,31.12
312,1,20,3/4/2011,75,93.40,17453306,90.24,0.31556,1.182362982,-1.04774,0.596594,92.19
313,2,13,5/20/2011,80,171.41,26027660,166.53,0.206113,10.72992899,-0.593472,0.440762,170.16
314,2,8,6/3/2011,69,53.39,25203572,50.11,-5.43437,1.440508663,-1.0338,0.815271,50.29
315,2,27,4/29/2011,68,38.42,68330713,36.82,1.9153,81.07982073,-2.73937,1.29698,37.78
316,2,9,6/17/2011,175,38.86,54513950,37.77,-1.52731,11.02746919,-0.713342,1.05152,38.04
317,1,4,2/25/2011,5,14.52,712456757,13.79,-1.25174,55.41453261,-1.05116,0.0704225,14.20
318,2,24,4/1/2011,26,62.30,43453701,60.61,1.6372,5.08461251,-0.434293,0.853737,62.08
319,2,23,5/13/2011,82,20.99,180162306,20.45,1.89966,-34.24086638,-0.71977,0.956023,20.92
320,1,29,2/25/2011,3,88.23,122018405,84.73,0.435448,30.74489174,-0.919995,0.515585,85.34
321,2,13,4/29/2011,7,173.00,26829625,167.23,1.74769,13.38399495,-1.8709,0.439676,170.58
322,2,15,5/6/2011,20,66.46,68840083,64.80,-0.986044,-2.694014177,2.31915,0.873295,65.27
323,2,20,4/29/2011,19,97.50,20655611,93.27,3.514,112.5314093,-2.0291,0.565785,97.21
324,1,20,2/4/2011,12,88.45,14960948,87.31,0.409417,-42.70150567,4.11705,0.622947,88.29
325,2,30,5/13/2011,54,31.79,92523592,31.05,0.673077,-40.70147863,0,1.36899,31.41
326,1,22,3/18/2011,60,25.76,379216242,24.68,-2.70694,39.52071257,1.74742,0.645161,24.80
327,1,26,2/11/2011,5,85.46,16641148,82.73,2.83645,6.06869297,-0.0705302,0.504695,85.20
328,2,11,5/13/2011,32,37.43,41391929,36.70,0.216626,-21.06717808,0.981194,0.675493,37.01
329,2,14,4/29/2011,5,23.19,466579710,21.33,8.32943,54.25635173,0.999131,0.777538,23.15
330,2,5,4/21/2011,88,109.42,23938892,102.16,3.63705,-22.01779087,5.64811,0.420398,109.42
331,1,6,1/28/2011,60,21.61,265687272,20.73,0.431862,37.15945212,5.35117,0.28667,20.93
332,1,2,3/11/2011,26,45.54,37613429,43.53,0.957592,-3.518293442,0.706794,0.406504,44.28
333,2,13,6/3/2011,66,169.89,23349972,164.13,-2.01259,20.02804804,-0.958971,0.454408,165.05
334,2,4,6/17/2011,75,11.12,889460755,10.40,-1.92837,1.857383255,-0.661001,0.093633,10.68
335,2,2,5/27/2011,33,51.38,26359875,49.79,0.768624,-27.91075123,-4.10586,0.352044,51.13
336,1,10,3/11/2011,97,20.79,303566341,19.94,-0.196078,16.23082689,-3.55711,0.687623,20.36
337,2,19,6/10/2011,81,82.23,31264251,80.00,-0.297767,33.70721358,2.59853,0.759084,80.36
338,1,21,1/28/2011,42,33.99,110066602,33.00,-2.70668,-16.06471893,-1.20156,1.14908,33.07
339,1,17,3/25/2011,4,31.49,41958399,30.43,1.55945,-18.899451,0.829346,0.927703,31.26
340,2,27,6/17/2011,19,35.92,69585912,34.94,0.794777,-3.487896305,1.83876,1.37989,35.51
341,1,7,1/21/2011,24,93.94,27752622,91.58,0.903809,-1.797171969,-0.55384,0.767754,93.78
342,1,4,3/18/2011,75,14.35,792380862,13.66,-1.54278,-1.593350187,-6.05634,0.0712251,14.04
343,1,19,3/25/2011,63,75.75,23877441,73.38,2.38095,-41.55318496,0.582396,0.810631,75.25
344,2,22,4/21/2011,26,26.00,158547201,24.72,1.67331,-30.97450559,1.40845,0.626959,25.52
345,1,20,3/11/2011,68,94.16,18144593,89.71,-1.04774,3.960779694,-2.44491,0.600371,91.61
346,2,25,5/27/2011,12,62.00,12344531,60.36,-0.356333,4.653870348,-1.24294,0.66645,61.52
347,2,23,6/3/2011,61,21.45,169014117,20.66,-0.761905,3.976633788,-3.41018,0.959693,20.84
348,2,29,5/20/2011,82,82.58,86758820,79.60,1.68287,-12.96100146,3.00424,0.576192,81.57
349,2,20,5/27/2011,82,93.47,11695384,91.38,1.27858,-29.53181135,-3.56194,0.588424,93.47
350,1,7,2/4/2011,10,97.44,48766293,93.37,3.47363,15.27827459,-0.853207,0.741427,97.11
351,1,10,2/25/2011,111,21.21,268500170,20.08,-0.287356,69.1962381,-2.7685,0.67243,20.82
352,2,9,6/24/2011,168,38.89,50409504,37.19,-0.713342,-7.529166388,5.58214,1.0644,37.58
353,2,4,6/10/2011,82,11.20,873241317,10.41,-3.39893,46.41369849,-1.92837,0.0925926,10.80
354,2,9,5/27/2011,196,41.52,34651349,40.55,0.899149,-32.04131147,-6.01432,0.963391,41.52
355,2,29,4/29/2011,12,88.00,81596868,85.89,1.95851,88.10349999,-6.14075,0.534212,87.98
356,1,19,3/18/2011,70,76.41,40853280,72.89,-4.08673,17.20902306,2.38095,0.835731,72.99
357,1,9,1/28/2011,315,39.95,42131642,38.65,-1.99294,16.42745943,4.27766,1.0296,38.85
358,1,5,2/4/2011,75,99.72,31169285,95.85,3.59929,-10.76405188,3.93495,0.441811,99.59
359,1,11,1/14/2011,53,35.89,41918450,34.07,5.0644,-25.9088433,1.50125,0.696573,35.89
360,1,24,2/4/2011,82,64.36,57201539,62.30,-1.14996,-18.33270276,1.2197,0.833202,63.61
361,2,25,4/21/2011,48,61.32,10135730,58.07,3.37154,-34.43794793,3.19635,0.668624,61.32
362,2,5,5/27/2011,52,104.60,30213720,100.30,3.25765,-44.33139309,-4.99013,0.439771,104.60
363,2,28,5/6/2011,5,55.79,46668727,53.20,-0.108932,-1.039709372,1.36438,0.672483,55.02
364,1,12,1/21/2011,52,47.64,82623453,45.76,2.36238,26.21163799,-2.52731,0.169384,47.23
365,2,22,4/29/2011,18,26.87,554889924,25.34,1.40845,249.9840555,-0.269854,0.617284,25.92
366,1,12,3/4/2011,10,43.85,110702335,42.06,-1.04505,-47.57108595,-2.72727,0.187749,42.61
367,2,23,4/15/2011,26,20.75,209481824,20.33,-0.0973236,5.183751899,-2.60827,0.974184,20.53
368,2,7,5/6/2011,12,109.57,44930373,101.11,-6.0285,60.43913967,-0.83293,0.709565,102.88
369,1,23,1/21/2011,12,18.49,159663706,18.02,0.0544959,-26.88038942,-0.981997,1.08932,18.36
370,2,17,5/13/2011,46,35.10,47572999,33.80,3.19432,-19.32641275,1.1194,0.831184,34.89
371,2,16,5/27/2011,35,42.92,119828886,41.69,0.919811,-17.42479195,-3.86216,0.584249,42.79
372,1,6,1/21/2011,67,21.33,193706863,20.50,-2.35627,25.20783263,0.431862,0.289575,20.72
373,2,9,5/20/2011,203,41.84,50988843,40.68,0.581677,-35.33856842,0.899149,0.963855,41.50
374,1,10,1/7/2011,38,18.72,280146510,18.12,-0.3245,,1.12843,0.759631,18.43
375,1,15,2/18/2011,7,61.11,33273371,60.33,0.692042,-22.43449648,-1.71391,0.883652,61.11
376,2,20,6/24/2011,54,93.92,15126028,90.68,-0.579742,-2.726170239,6.13746,0.605127,90.89
377,1,28,2/4/2011,33,56.58,60981950,55.39,-0.744021,-12.31455023,-0.677724,0.660361,56.03
378,2,22,6/17/2011,60,29.05,280430166,23.65,1.97562,21.76343765,0.537857,0.659522,24.26
379,2,25,6/24/2011,75,58.28,20959450,56.12,-1.54594,1.510428606,4.01197,0.723359,56.68
380,2,30,6/10/2011,26,30.61,95255686,30.11,-0.687398,11.9523265,1.61823,1.41727,30.34
381,2,15,5/13/2011,13,67.37,66040498,65.07,2.31915,-4.066794922,-1.08417,0.855599,66.62
382,2,23,6/24/2011,40,20.96,259247639,20.08,-0.049776,13.02472523,3.23383,0.996016,20.08
383,2,6,4/29/2011,67,17.64,412492845,16.90,3.48494,65.38022608,0.285551,0.342466,17.52
384,2,15,4/29/2011,27,65.98,70745990,63.40,3.25216,-2.938856959,-0.986044,0.867316,65.72
385,1,7,3/11/2011,68,104.77,43673568,97.60,-4.0242,-9.418191232,3.67084,0.730511,99.93
386,1,11,2/25/2011,11,39.38,54816070,36.78,-5.64885,79.02273944,0.188425,0.674218,37.08
387,1,26,2/4/2011,12,82.60,15689029,80.66,0.880196,-33.42426922,2.83645,0.521086,82.52
388,1,22,3/4/2011,74,26.86,298801508,25.80,-2.77257,25.2162659,-1.72216,0.61657,25.95
389,1,18,1/21/2011,49,63.92,36000586,62.72,-0.696092,15.02582128,-1.04979,0.748765,62.77
390,1,30,1/28/2011,9,28.95,171464186,27.41,-3.40829,31.30540384,2.00584,1.56421,27.49
391,2,24,5/20/2011,61,67.72,47738539,66.51,1.0501,-3.90271396,-0.898204,0.786817,67.36
392,2,12,6/17/2011,87,35.32,134346312,33.95,-0.370054,80.81356224,0.316183,0.342857,35.00
393,2,13,4/21/2011,15,168.28,23662621,162.19,2.21088,6.668225491,1.74769,0.445686,168.28
394,2,14,6/17/2011,47,26.78,294273143,21.07,-1.11993,17.84126251,0.0471921,0.991033,21.19
395,2,17,6/24/2011,4,34.98,39770714,33.87,0.610643,-10.91010204,2.48483,0.83815,34.60
396,1,21,2/18/2011,21,33.19,54419625,32.65,-0.363967,-12.28227051,-1.70992,1.15677,32.85
397,1,15,2/11/2011,14,61.17,42897125,60.42,-0.295664,-32.596127,0.692042,0.889621,60.70
398,1,20,2/11/2011,5,91.95,16315175,87.81,4.11705,9.051745919,1.35194,0.599129,91.80
399,2,3,4/21/2011,20,75.44,16947409,71.75,3.74037,-13.05582941,5.65488,0.556734,75.44
400,1,17,1/28/2011,60,31.77,55657855,30.50,-2.73973,35.09104495,2.16181,0.949885,30.53
401,1,29,2/11/2011,17,84.00,85733429,81.61,-0.754943,-33.920929,3.04878,0.531273,82.82
402,2,27,4/1/2011,5,38.95,96766651,37.42,2.75107,21.55977938,-2.10226,1.27372,38.47
403,1,28,1/7/2011,61,55.07,64231179,53.76,-0.2766,,2.16216,0.684172,54.08
404,1,16,3/25/2011,10,46.38,117959443,44.77,-0.907519,-47.9009063,0.542299,0.545137,45.86
405,2,9,6/10/2011,182,39.88,49099516,38.42,-1.73558,-5.884141239,-1.52731,1.03896,38.50
406,1,19,3/4/2011,84,76.63,41047787,73.64,2.03999,47.22382057,0.458235,0.802315,76.03
407,2,29,6/24/2011,47,81.12,118679791,76.78,-2.37762,18.06420424,6.67274,0.612139,76.78
408,2,4,4/8/2011,54,13.88,480033181,13.37,0.597015,-3.930488803,-5.03704,0.074184,13.48
409,2,26,5/6/2011,12,90.67,21797524,85.80,-0.910807,4.795667543,0.112511,0.538056,89.21
410,2,21,6/3/2011,10,36.76,46564832,35.76,-1.56636,-11.16406289,-0.70028,1.06086,35.82
411,1,6,1/7/2011,81,21.00,303545878,20.38,2.54279,,1.2894,0.286123,20.97
412,1,25,2/25/2011,11,61.15,20849299,59.05,-1.65016,47.78593979,-0.704698,0.604027,59.60
413,1,7,2/25/2011,82,103.94,57897831,99.23,2.89227,106.4989951,1.43723,0.714985,102.10
414,1,27,2/18/2011,47,36.62,68915874,35.66,0.853759,-12.13016836,-0.745033,1.33807,36.62
415,1,13,1/21/2011,18,156.78,35770931,149.38,3.79122,133.2580324,2.43855,0.418006,155.50
416,1,3,3/18/2011,54,71.23,29746370,67.34,-2.90853,16.3954667,4.33917,0.607815,69.10
417,1,18,1/14/2011,56,63.86,31297830,62.56,0.685805,-47.6644074,-0.696092,0.744496,63.13
418,2,4,4/21/2011,41,12.60,624897506,12.15,-2.22399,-6.814410779,-0.324675,0.0812348,12.31
419,2,10,4/21/2011,56,20.54,182835072,19.51,0.91047,-13.88537099,1.53923,0.701754,19.95
420,2,19,5/20/2011,7,82.85,27816875,80.44,2.34958,4.679566831,0.110389,0.740921,82.33
421,2,1,4/8/2011,34,18.47,129237024,17.42,2.87026,25.08374823,-8.52713,0.167411,17.92
422,1,10,2/11/2011,3,21.44,252254376,20.73,2.6962,2.296644945,-0.32543,0.656353,21.33
423,2,28,4/29/2011,12,55.16,47159044,53.23,2.57463,104.3862543,-0.108932,0.672972,54.98
424,1,22,3/11/2011,67,26.27,271799244,25.35,-1.72216,-9.036856668,-2.70694,0.623053,25.68
425,2,17,4/1/2011,88,31.70,38759730,31.06,0.829346,-7.623429578,-0.126143,0.917431,31.61
426,2,16,6/10/2011,21,41.50,194764785,40.10,-0.121655,34.14668173,-1.18673,0.609013,41.05
427,1,17,2/18/2011,39,30.93,38172345,30.26,0.782524,-42.08612152,3.22266,0.938208,30.91
428,2,23,4/1/2011,40,20.57,170424399,20.11,-0.195886,-21.06861801,-0.437956,0.981354,20.38
429,1,8,1/28/2011,14,50.66,45429653,48.26,3.81916,77.38273235,4.74576,0.815271,50.29
430,1,13,3/25/2011,42,162.74,25381792,157.07,2.87998,-39.31833965,1.68998,0.462449,162.18
431,1,27,2/25/2011,40,36.32,57673647,35.34,-0.745033,-16.31297167,0.0554631,1.36225,35.97
432,2,13,4/8/2011,28,164.75,17615408,163.16,-0.225033,-7.68542563,1.69481,0.457178,164.05
433,1,13,2/25/2011,70,164.26,21443811,159.03,-0.788653,49.40701738,-0.326435,0.462164,162.28
434,2,26,4/15/2011,33,85.56,17017620,82.70,-1.82353,45.56430394,5.44794,0.575195,83.45
435,1,12,3/25/2011,80,43.28,78089358,41.35,1.62485,-35.49093971,-3.39463,0.305667,42.53
436,2,6,5/6/2011,60,17.70,290282402,17.28,0.285551,-29.62728796,-3.70793,0.341686,17.56
437,2,21,5/20/2011,24,37.65,74833386,36.69,0,25.36261628,-1.25443,1.02536,37.06
438,2,30,4/1/2011,5,30.97,384284485,28.90,5.51344,127.2456535,-0.0975927,1.40431,30.62
439,2,25,4/1/2011,68,60.01,16608737,58.37,1.04925,17.56965399,-0.417851,0.686652,59.71
440,2,29,4/8/2011,33,86.22,75566590,84.07,2.0057,-2.581847092,-1.93136,0.54683,85.95
441,2,24,5/13/2011,68,67.31,49677302,64.86,2.97243,-9.753897247,1.0501,0.792701,66.86
442,2,3,6/3/2011,68,78.35,17813730,74.09,-3.80463,12.12916136,-2.76886,0.561197,74.84
443,1,13,2/11/2011,84,166.25,26106753,163.18,-0.140176,2.874986459,0.401998,0.457736,163.85
444,1,20,1/28/2011,19,90.50,26110543,87.20,-1.98408,143.8973045,0.409417,0.629003,87.44
445,2,26,5/13/2011,5,90.18,17420630,88.35,0.112511,-20.07977603,-1.08524,0.539447,88.98
446,2,13,4/1/2011,35,164.42,19081936,161.12,1.68998,-24.82037517,-0.225033,0.456565,164.27
447,2,19,4/15/2011,42,77.54,21670715,75.83,1.61523,-2.986359177,0.0260112,0.788317,77.38
448,1,28,1/21/2011,47,56.27,53009787,54.71,1.12502,8.339214079,2.36505,0.663915,55.73
449,2,22,5/27/2011,81,25.03,213316051,24.03,2.27179,-31.51157921,-4.24679,0.646204,24.76
450,2,18,6/3/2011,10,67.24,31192400,65.21,-2.10636,19.66330358,-0.183178,0.717229,65.53
451,1,21,1/14/2011,56,37.61,108158891,34.23,-8.13204,48.65058696,-0.498973,1.11014,34.23
452,1,9,3/25/2011,259,43.24,40696371,40.87,3.64206,-37.44794267,-0.787219,0.930882,42.97
453,2,27,4/8/2011,89,38.70,62429599,37.26,-2.10226,-35.48438604,0.264901,1.29905,37.72
454,1,16,2/11/2011,52,46.89,162434145,44.65,4.06704,18.19403927,4.34783,0.536826,46.57
455,1,30,2/4/2011,2,28.06,118469916,27.20,2.00584,-30.90690321,1.78763,1.53736,27.97
456,1,18,2/25/2011,14,64.40,32331825,63.33,1.49937,7.998156552,1.62069,0.730835,64.31
457,1,9,3/18/2011,266,42.67,65060004,40.42,-3.30675,57.80007212,3.64206,0.970167,41.23
458,2,5,6/24/2011,24,102.50,43722864,96.05,3.64805,0.26701338,8.66347,0.459954,100.01
459,1,15,2/25/2011,0,61.08,46786798,59.36,-1.71391,40.61333912,1.88553,0.905433,59.64
460,2,6,5/13/2011,53,17.99,563552552,16.64,-3.70793,94.13941325,-1.72414,0.35545,16.88
461,1,14,1/7/2011,27,21.21,386719626,20.27,-1.66587,,1.78658,0.871249,20.66
462,1,9,2/11/2011,301,44.05,83975520,40.71,6.39706,56.90057634,0.85668,0.921447,43.41
463,2,9,4/15/2011,238,42.02,40820710,40.84,-0.574713,4.52039518,3.17305,0.963391,41.52
464,2,10,6/17/2011,90,18.90,261979707,18.20,0.983069,0.414228127,-2.01745,0.811249,18.49
465,1,26,1/7/2011,40,79.75,15797841,78.40,-0.138906,,1.03488,0.543753,79.08
466,2,16,4/21/2011,71,44.97,113261188,43.53,0.926135,-39.11262337,2.19485,0.559534,44.68
467,2,5,4/29/2011,80,116.25,34522949,107.95,5.64811,44.21281068,-5.07571,0.398579,115.41
468,2,2,6/17/2011,12,49.14,37705374,46.92,1.12594,11.45900085,-0.0206825,0.371134,48.50
469,1,28,3/25/2011,47,52.95,53385178,51.38,1.19853,-15.52734236,-0.344102,0.706781,52.35
470,2,29,6/3/2011,68,83.75,78616295,80.18,-2.52161,15.2210316,-1.42098,0.57896,81.18
471,2,28,4/15/2011,26,53.96,45662991,52.40,1.92234,-5.620388315,0.941974,0.690943,53.55
472,1,11,1/28/2011,39,38.12,63397367,36.30,0.658256,40.10492615,-0.888769,0.681199,36.70
473,1,2,3/18/2011,19,44.47,41757526,42.19,0.706794,11.01759959,1.87709,0.407516,44.17
474,2,11,6/3/2011,11,36.28,39307513,34.43,-4.28413,-3.359080634,-3.06979,0.721917,34.63
475,1,26,2/18/2011,89,85.44,11922670,84.25,-0.0705302,-28.35428181,-1.38396,0.564639,85.01
476,1,8,3/11/2011,61,54.49,27091813,51.82,-2.21811,-17.79989531,-0.357277,0.775047,52.90
477,1,18,2/4/2011,35,63.48,34863226,61.89,0.385109,-17.27123121,1.43609,0.751279,62.56
478,2,3,5/27/2011,75,76.99,15886795,75.13,0.574788,-20.52666186,-3.80463,0.545525,76.99
479,1,23,1/28/2011,5,18.76,277157388,18.14,-0.981997,73.58822173,6.10225,1.10193,18.15
480,1,27,1/7/2011,89,37.70,141938064,35.41,-0.36051,,-2.98222,1.36376,35.93
481,2,8,5/6/2011,5,57.00,27498887,53.59,-3.17263,0.547380154,-3.69494,0.750503,54.63
482,2,3,4/29/2011,12,80.34,30503034,74.68,5.65488,79.98641562,-1.29434,0.526448,79.78
483,1,5,3/4/2011,47,104.43,29851515,99.35,0.311526,6.05678948,-3.28757,0.427019,103.04
484,2,8,4/21/2011,20,56.00,15537427,53.19,3.00295,-35.42128773,1.97522,0.733321,55.91
485,1,3,2/18/2011,82,73.04,15989248,71.09,0.467675,-26.68647494,-0.0691085,0.575027,73.04
486,1,9,1/7/2011,336,40.00,72917621,37.62,4.531,,0.717765,1.01394,39.45
487,2,26,6/3/2011,75,87.79,21179642,82.43,-4.32184,40.28236443,-0.277342,0.576646,83.24
488,1,27,2/4/2011,61,36.48,72890565,35.38,1.87991,-41.2774466,0.247934,1.34949,36.31
489,1,15,2/4/2011,21,60.99,63641929,59.69,1.13032,-26.19434692,-0.295664,0.887574,60.84
490,1,14,3/11/2011,54,21.74,289874871,20.61,-3.78054,-0.643270457,-3.5334,0.862482,20.87
491,1,13,2/4/2011,4,164.20,25377163,158.68,3.02802,-21.94159958,-0.140176,0.396341,164.00
492,1,7,3/25/2011,54,107.01,39606692,103.20,2.81148,-29.50889116,1.80451,0.683649,106.78
493,2,27,5/6/2011,61,38.33,84281362,36.90,-2.73937,23.3433083,-0.0536481,1.31438,37.28
494,1,17,2/11/2011,46,31.25,65912258,30.24,-1.66774,89.59721938,0.782524,0.945858,30.66
495,2,16,6/3/2011,28,43.38,145187926,40.83,-3.86216,21.1627103,-0.121655,0.601395,41.57
496,2,2,6/24/2011,5,50.15,34877916,48.15,-0.0206825,-7.498819664,7.93978,0.372362,48.34
497,1,17,1/14/2011,74,31.72,24955086,30.89,1.39114,-44.50944226,-0.191022,0.925335,31.34
498,1,23,1/14/2011,19,18.48,218359623,18.13,0.658617,-43.54784915,0.0544959,1.09051,18.34
499,2,5,5/20/2011,59,108.27,54274252,101.47,-1.45461,42.03679462,3.25765,0.440909,104.33
500,2,2,5/13/2011,47,50.46,35427164,49.22,-1.13863,-19.47955308,3.58155,0.36371,49.49
501,2,23,4/29/2011,12,21.06,205782608,19.90,5.11278,43.56393017,-2.79092,0.953743,20.97
502,2,12,5/13/2011,31,41.74,63498759,40.22,-0.931601,-9.609918892,-10.4975,0.321703,40.41
503,2,8,4/1/2011,40,55.80,23341552,53.70,1.99593,-4.590377398,-0.18018,0.742888,55.19
504,1,23,3/11/2011,61,19.75,195391037,19.30,-0.86558,-24.26109148,3.75321,1.02722,19.47
505,2,23,5/20/2011,75,21.28,249113161,20.68,-0.71977,38.27152112,2.14739,0.966651,20.69
506,1,29,2/4/2011,24,83.98,129743696,79.01,4.2042,12.45213672,-0.754943,0.528338,83.28
507,2,27,6/24/2011,12,36.17,82375230,35.20,1.83876,18.3791771,5,1.36111,36.00
508,2,3,4/15/2011,26,74.28,19492289,70.88,-1.42566,-8.142496529,3.74037,0.578512,72.60
509,2,22,5/13/2011,4,25.96,382293426,24.95,-2.9845,10.28029056,-1.88301,0.639233,25.03
510,1,30,1/7/2011,30,30.10,157834347,28.66,-2.7965,,-0.385424,1.49047,28.85
511,1,1,3/18/2011,55,16.33,130374108,15.43,1.00313,14.03060136,4.33455,0.18622,16.11
512,2,20,4/1/2011,47,94.33,14958061,91.90,0.768232,-0.08244267,0.58265,0.590572,93.13
513,2,25,6/17/2011,82,59.32,20647583,57.36,-2.02977,14.1261046,-1.54594,0.707873,57.92
514,2,30,4/8/2011,89,31.00,148206324,29.99,-0.0975927,-61.43317522,-0.325203,1.4002,30.71
515,1,29,3/4/2011,68,86.56,102134160,83.55,-0.919995,-16.29610303,-4.33364,0.552421,85.08
516,2,13,6/17/2011,52,165.10,29390025,161.52,0,42.35160584,0.836897,0.456093,164.44
517,1,2,1/21/2011,75,46.71,38824728,44.71,-0.0651749,49.82309945,-4.7557,0.391304,46.00
518,2,26,6/10/2011,68,84.52,20109892,82.60,-0.277342,-5.050840803,1.98987,0.580411,82.70
519,2,2,6/3/2011,26,51.70,25215640,49.04,-4.10586,-4.34082104,-2.82923,0.36526,49.28
520,2,16,6/24/2011,7,41.53,167589521,39.44,-2.49383,-8.700851184,5.53299,0.633072,39.49
521,2,4,5/13/2011,19,12.43,623724296,11.91,-2.85016,8.054349931,-2.60723,0.0838223,11.93
522,1,14,3/4/2011,61,22.08,291751623,21.35,-0.873563,13.90506489,-3.78054,0.834879,21.56
523,1,6,3/25/2011,4,17.64,284574143,17.20,-0.346021,-35.93005207,-1.84332,0.347222,17.28
